Human Target,GO Category,Drug(s),M. musculus,Similarity (%),G. gallus,Similarity (%),X. tropicalis,Similarity (%),X. laevis,Similarity (%),G. aculeatus,Similarity (%),D. rerio,Similarity (%),D. melanogaster,Similarity (%),D. pulex,Similarity (%),C. elegans,Similarity (%),A. thaliana,Similarity (%),C. reinhardtii,Similarity (%),D. discoideum,Similarity (%),S. cerevisiae,Similarity (%),T. thermophila,Similarity (%),E. coli,Similarity (%),S. elongatus,Similarity (%)
P11229|ACM1_HUMAN Muscarinic acetylcholine receptor M1 - Homo sapiens,Enzyme;Receptor,"Cevimeline(DB00185), Succinylcholine(DB00202), Trospium(DB00209), Oxyphenonium(DB00219), Benztropine(DB00245), Ipratropium(DB00332), Olanzapine(DB00334), Metixene(DB00340), Buclizine(DB00354), Doxylamine(DB00366), Thiethylperazine(DB00372), Trihexyphenidyl(DB00376), Oxyphencyclimine(DB00383), Procyclidine(DB00387), Ethopropazine(DB00392), Carbachol(DB00411), Promazine(DB00420), Hyoscyamine(DB00424), Methylscopolamine(DB00462), Tridihexethyl(DB00505), Triflupromazine(DB00508), Anisotropine Methylbromide(DB00517), Atropine(DB00572), Pirenzepine(DB00670), Homatropine Methylbromide(DB00725), Scopolamine(DB00747), Carbinoxamine(DB00748), Benzquinamide(DB00767), Clidinium(DB00771), Propiomazine(DB00777), Propantheline(DB00782), Cryptenamine(DB00785), Dicyclomine(DB00804), Biperiden(DB00810), Methantheline(DB00940), Cycrimine(DB00942), Cyclopentolate(DB00979), Glycopyrrolate(DB00986), Bethanechol(DB01019), Tolterodine(DB01036), Oxybutynin(DB01062), Promethazine(DB01069), Pilocarpine(DB01085), Quinacrine(DB01103), Flavoxate(DB01148), Desipramine(DB01151), Cyclizine(DB01176), Diphenidol(DB01231), Metoclopramide(DB01233), Methotrimeprazine(DB01403), Solifenacin(DB01591)",ENSMUSP00000042632|Muscarinic acetylcholine receptor M1. [Source:Uniprot/SWISSPROT;Acc:P12657],98.91,ENSGALP00000017509|Muscarinic acetylcholine receptor M3. [Source:Uniprot/SWISSPROT;Acc:P49578],46.42,ENSXETP00000003516|Muscarinic acetylcholine receptor M1. [Source:Uniprot/SWISSPROT;Acc:P11229],45.62,"gi|64901|gb|CAA46694| 'muscarinic receptor, M4 subtype [Xenopus laevis]'",41.06,ENSGACP00000013365|Muscarinic acetylcholine receptor M3. [Source:Uniprot/SWISSPROT;Acc:P20309],44.35,"ENSDARP00000006023|cholinergic receptor, muscarinic 5 [Source:RefSeq_peptide;Acc:NP_001018639]",50.61,"FBpp0072274 type=protein; loc=2R:complement(20268290..20269379,20270764..20270900,20270959..20271142,20271447..20272402); ID=FBpp0072274; name=mAcR-60C-PA; parent=FBgn0000037,FBtr0072367; dbxref=FlyBase:FBpp0072274,FlyBase_Annotation_IDs:CG4356-PA,GB_protein:AAF47197.1,GB_protein:AAF47197; MD5=15c627417aa3abbbf359a927d54f88c4; length=788; release=r5.6; species=Dmel;",25.76,jgi|Dappu1|48160|e_gw1.15.266.1,27.33,Y40H4A.1a CE27783 WBGene00001519 locus:gar-3 muscarinic acetylcholine receptor status:Confirmed SW:Q9U7D5 protein_id:CAA22301.2,32.37,AT3G15050.1 | Symbols: IQD10 | IQD10 (IQ-domain 10); calmodulin binding | chr3:5066886-5067899 REVERSE,11.52,jgi|Chlre3|175575,10.71,DDB0191443 |Protein| gene: rpkA on chromosome: 4 position 1020192 to 1022856,8.35,YER164W|chromodomain-helicase-DNA-binding (CHD) family,10.04,"3712.m00132 TTHERM_00459410 transporter, major facilitator superfamily protein",9.13,"b0731 protein modification enzyme, induction of ompC (hrsA) [2.7.1.69] {Escherichia coli K12-MG1655}",12.22,syc1305_c similar to pre-B cell enhancing factor {Synechococcus elongatus PCC 6301},11.32
P11309|PIM1_HUMAN Proto-oncogene serine/threonine-protein kinase Pim-1 - Homo sapiens,Enzyme,Adenosine monophosphate(DB00131),ENSMUSP00000024811|Proto-oncogene serine/threonine-protein kinase Pim-1 (EC 2.7.11.1). [Source:Uniprot/SWISSPROT;Acc:P06803],85.15,"ENSGALP00000038411|PREDICTED: Gallus gallus similar to pim-3 protein (LOC768655), mRNA. [Source:RefSeq_dna;Acc:XR_026638]",46.68,ENSXETP00000031787|Serine/threonine-protein kinase Pim-3 (EC 2.7.11.1). [Source:Uniprot/SWISSPROT;Acc:Q86V86],51.11,gi|148235213|ref|NP_001090165| 'hypothetical protein LOC735245 [Xenopus laevis]',50.86,ENSGACP00000005435|Proto-oncogene serine/threonine-protein kinase Pim-1 (EC 2.7.11.1). [Source:Uniprot/SWISSPROT;Acc:P11309],54.96,ENSDARP00000076561|hypothetical protein LOC572469 [Source:RefSeq_peptide;Acc:NP_001070859],54.7,"FBpp0070326 type=protein; loc=X:complement(1949951..1950058,1950153..1951800,1951862..1951956,1952017..1952298,1952354..1953451,1953508..1953794,1953998..1954061,1954132..1954746); ID=FBpp0070326; name=CG4290-PA; parent=FBgn0025625,FBtr0070340; dbxref=FlyBase:FBpp0070326,FlyBase_Annotation_IDs:CG4290-PA,GB_protein:AAF45711.1,GB_protein:AAF45711; MD5=ff5ee602acad27a07f543470da3d048b; length=1398; release=r5.6; species=Dmel;",26,jgi|Dappu1|128092|fgenesh1_pm.C_scaffold_19000001,40.39,F45H7.4 CE31517 WBGene00004183 locus:prk-2 serine\/threonine kinase status:Partially_confirmed TR:Q20443 protein_id:CAA84323.2,30.88,"AT3G01090.2 | Symbols: SNRK1.1, AKIN10 | AKIN10 (ARABIDOPSIS SNF1 KINASE HOMOLOG 10); protein kinase | chr3:31444-34150 REVERSE",11.73,jgi|Chlre3|127871,10.88,DDB0216323 |Protein| gene: mrkC on chromosome: 3 position 5083659 to 5086073,22.3,YOL045W|serine/threonine protein kinase,21.6,3731.m00081 TTHERM_00670860 Protein kinase domain containing protein,22.63,"b1869 orf, hypothetical protein (yecN) {Escherichia coli K12-MG1655}",8.66,syc0259_c serine/threonine kinase {Synechococcus elongatus PCC 6301},12.5
P11362|FGFR1_HUMAN Basic fibroblast growth factor receptor 1 precursor - Homo sapiens,Enzyme;Receptor,Palifermin(DB00039),ENSMUSP00000081041|Basic fibroblast growth factor receptor 1 precursor (EC 2.7.10.1) (FGFR-1) (bFGF-R) (MFR) (CD331 antigen). [Source:Uniprot/SWISSPROT;Acc:P16092],96.64,ENSGALP00000005237|Basic fibroblast growth factor receptor 1 precursor (EC 2.7.10.1) (FGFR-1) (Tyrosine kinase receptor CEK1). [Source:Uniprot/SWISSPROT;Acc:P21804],83.96,ENSXETP00000036588,78.59,gi|214894|gb|AAA49990| 'fibroblast growth factor receptor',78.95,ENSGACP00000016410|Basic fibroblast growth factor receptor 1 precursor (EC 2.7.10.1) (FGFR-1) (bFGF-R) (Fms-like tyrosine kinase 2) (c-fgr) (CD331 antigen). [Source:Uniprot/SWISSPROT;Acc:P11362],70.35,ENSDARP00000089042|Basic fibroblast growth factor receptor 1 precursor (EC 2.7.10.1) (FGFR-1). [Source:Uniprot/SWISSPROT;Acc:Q90Z00],70.56,"FBpp0082972 type=protein; loc=3R:complement(13871453..13873642); ID=FBpp0082972; name=htl-PC; parent=FBgn0010389,FBtr0083550; dbxref=FlyBase:FBpp0082972,FlyBase_Annotation_IDs:CG7223-PC,GB_protein:AAN13755.1,GB_protein:AAN13755; MD5=1078910fafd5d7ce9b0990cbc237df88; length=729; release=r5.6; species=Dmel;",31.77,jgi|Dappu1|300042|PASA_GEN_0100322,33.92,F58A3.2b CE35726 WBGene00001184 locus:egl-15 status:Confirmed SW:Q10656 protein_id:CAC70094.2,29.22,AT5G11850.1 | Symbols:  | protein kinase family protein | chr5:3816633-3821025 REVERSE,15.44,jgi|Chlre3|105918,15.33,DDB0214883 |Protein| gene: drkD on chromosome: 3 position 4777368 to 4781526,16.36,YAR019C|serine/threonine protein kinase,10.71,3717.m00027 TTHERM_00522150 protein kinase domain,9.64,b0045 putative transport protein (yaaU) {Escherichia coli K12-MG1655},8.03,syc0923_d similar to serine/threonine kinase {Synechococcus elongatus PCC 6301},9.25
P11387|TOP1_HUMAN DNA topoisomerase 1 - Homo sapiens,Enzyme,"Irinotecan(DB00762), Topotecan(DB01030), Lucanthone(DB04967)",ENSMUSP00000105094|DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I). [Source:Uniprot/SWISSPROT;Acc:Q04750],97,ENSGALP00000005822|topoisomerase (DNA) I [Source:RefSeq_peptide;Acc:NP_990441],89.34,ENSXETP00000042072|DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I). [Source:Uniprot/SWISSPROT;Acc:P11387],75.42,gi|214834|gb|AAB36608| 'DNA topoisomerase I',72.8,ENSGACP00000013439|DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I). [Source:Uniprot/SWISSPROT;Acc:P11387],67.62,"ENSDARP00000065948|topoisomerase (DNA) I, like [Source:RefSeq_peptide;Acc:NP_001037789]",79.64,"FBpp0099689 type=protein; loc=X:join(15213814..15213840,15215187..15215404,15215894..15216860,15216932..15217008,15218104..15219233,15219308..15219558,15219620..15219771,15219849..15219951); ID=FBpp0099689; name=Top1-PC; parent=FBgn0004924,FBtr0100294; dbxref=FlyBase_Annotation_IDs:CG6146-PC,FlyBase:FBpp0099689,GB_protein:AAX52496.1,GB_protein:AAX52496; MD5=cecbaefb37c41b73b1f5e43fefa951ae; length=974; release=r5.6; species=Dmel;",46.88,jgi|Dappu1|109061|fgenesh1_pg.C_scaffold_62000077,50.2,M01E5.5a CE12282 WBGene00006595 locus:top-1 DNA topoisomerase I status:Confirmed TR:O17966 protein_id:CAB07640.1,50.49,"AT5G55310.1 | Symbols: TOP1, TOP1alpha | TOP1alpha (TOPOISOMERASE I) | chr5:22447615-22451816 REVERSE",36.24,jgi|Chlre3|114171,32.95,DDB0234191 |Protein| gene: top1 on chromosome: 4 position 416900 to 419809,37.42,YOL006C|topoisomerase I,37.26,"315.m00022 TTHERM_01299650 Eukaryotic DNA topoisomerase I, catalytic core family protein",34.04,b4187 putative acyl coenzyme A dehydrogenase (aidB) {Escherichia coli K12-MG1655},9.65,syc0149_d iron(III)-transport ATP-binding protein {Synechococcus elongatus PCC 6301},8.63
P11388|TOP2A_HUMAN DNA topoisomerase 2-alpha - Homo sapiens,Enzyme,"Moxifloxacin(DB00218), Amsacrine(DB00276), Dexrazoxane(DB00380), Valrubicin(DB00385), Teniposide(DB00444), Epirubicin(DB00445), Enoxacin(DB00467), Pefloxacin(DB00487), Ciprofloxacin(DB00537), Trovafloxacin(DB00685), Etoposide(DB00773), Lomefloxacin(DB00978), Doxorubicin(DB00997), Gatifloxacin(DB01044), Norfloxacin(DB01059), Levofloxacin(DB01137), Ofloxacin(DB01165), Idarubicin(DB01177), Podofilox(DB01179), Mitoxantrone(DB01204), Sparfloxacin(DB01208), Fleroxacin(DB04576), Lucanthone(DB04967)","ENSMUSP00000068896|DNA topoisomerase 2-alpha (EC 5.99.1.3) (DNA topoisomerase II, alpha isozyme). [Source:Uniprot/SWISSPROT;Acc:Q01320]",88.85,"ENSGALP00000039270|DNA topoisomerase 2-alpha (EC 5.99.1.3) (DNA topoisomerase II, alpha isozyme). [Source:Uniprot/SWISSPROT;Acc:O42130]",73.32,ENSXETP00000046205|Topoisomerase II alpha (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q71UQ5] [from human gene ENSG00000131747],62.19,gi|148222806|ref|NP_001082502| 'hypothetical protein LOC398512 [Xenopus laevis]',68.01,ENSGACP00000011260|TOP2A_HUMAN Isoform 2 of P11388 - Homo sapiens (Human) [Source:Uniprot/Varsplic;Acc:P11388-2],63.49,ENSDARP00000045795|hypothetical protein LOC569877 [Source:RefSeq_peptide;Acc:NP_001038656],62.63,"FBpp0080825 type=protein; loc=2L:complement(19447738..19448061,19448143..19451180,19451247..19451670,19451728..19452285); ID=FBpp0080825; name=Top2-PA; parent=FBgn0003732,FBtr0081287; dbxref=GB_protein:AAF53802.2,FlyBase:FBpp0080825,FlyBase_Annotation_IDs:CG10223-PA,GB_protein:AAF53802; MD5=44a7e3677ef6ad5222f7811934e0e1c9; length=1447; release=r5.6; species=Dmel;",49.87,jgi|Dappu1|329527|NCBI_GNO_12100064,53.81,K12D12.1 CE06184 WBGene00010785 DNA topoisomerase II status:Partially_confirmed SW:Q23670 protein_id:CAA94177.1,51.19,"AT3G23890.2 | Symbols: ATTOPII, TOPII | TOPII (TOPOISOMERASE II) | chr3:8624938-8631113 FORWARD",42.23,jgi|Chlre3|38019,37.24,DDB0231510 |Protein| gene: top2 on chromosome: 1 position 4831688 to 4836353,37.61,YNL088W|DNA topoisomerase II,39.33,"3712.m00067 TTHERM_00456750 DNA gyrase/topoisomerase IV, A subunit family protein",39.63,"b3699 DNA gyrase subunit B, type II topoisomerase, ATPase activity (gyrB) [5.99.1.3] {Escherichia coli K12-MG1655}",12.1,syc1615_c DNA gyrase B subunit (gyrB) {Synechococcus elongatus PCC 6301},9.34
P11473|VDR_HUMAN Vitamin D3 receptor - Homo sapiens,Receptor,"Calcitriol(DB00136), Calcidiol(DB00146), Ergocalciferol(DB00153), Paricalcitol(DB00910), Dihydrotachysterol(DB01070), Calcipotriol(DB02300)","ENSMUSP00000023119|Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1). [Source:Uniprot/SWISSPROT;Acc:P48281]",86.65,"ENSGALP00000035065|Gallus gallus vitamin D (1,25- dihydroxyvitamin D3) receptor (VDR), mRNA. [Source:RefSeq_dna;Acc:NM_205098]",52.09,"ENSXETP00000023342|Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1). [Source:Uniprot/SWISSPROT;Acc:P11473]",73.54,gi|2149638|gb|AAB58585| 'vitamin D receptor [Xenopus laevis]',71.96,"ENSGACP00000006291|Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1). [Source:Uniprot/SWISSPROT;Acc:P11473]",69.79,ENSDARP00000094891|VDR-B (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q1L673],68.85,"FBpp0084131 type=protein; loc=3R:join(20851266..20851932,20852001..20852057,20852123..20852946,20853970..20854179,20854251..20854463,20854520..20854720); ID=FBpp0084131; name=Hr96-PA; parent=FBgn0015240,FBtr0084756; dbxref=FlyBase:FBpp0084131,FlyBase_Annotation_IDs:CG11783-PA,GB_protein:AAF56379,GB_protein:AAF56379.1; MD5=fcc5c952f0e02893ab740f72844fa34c; length=723; release=r5.6; species=Dmel;",15.57,jgi|Dappu1|205205|estExt_Genewise1.C_10395,22.11,F11A1.3d CE39240 WBGene00000908 locus:daf-12 status:Confirmed TR:Q2XN07 protein_id:CAJ43436.1,15.42,"AT3G21180.1 | Symbols: ATACA9, ACA9 | ACA9 (autoinhibited Ca2+ -ATPase 9); calcium-transporting ATPase/ calmodulin binding | chr3:7425776-7431947 FORWARD",11.61,jgi|Chlre3|144552,9.93,DDB0167693 |Protein| gene: JC2V2_0_01769 on chromosome: 2 position 4409724 to 4414851,9.64,YDR430C|similar to zinc metalloproteases,11.33,3836.m02126 TTHERM_00088100 hypothetical protein,10.87,No Hit,0,syc1455_c hypothetical protein {Synechococcus elongatus PCC 6301},11.11
"P11498|PYC_HUMAN Pyruvate carboxylase, mitochondrial precursor - Homo sapiens",Enzyme,"Pyruvic acid(DB00119), Biotin(DB00121)","ENSMUSP00000109456|Pyruvate carboxylase, mitochondrial precursor (EC 6.4.1.1) (Pyruvic carboxylase) (PCB). [Source:Uniprot/SWISSPROT;Acc:Q05920]",96.77,ENSGALP00000032512|methylcrotonoyl-Coenzyme A carboxylase 1 (alpha) [Source:RefSeq_peptide;Acc:NP_001006551],21.65,"ENSXETP00000018435|Pyruvate carboxylase, mitochondrial precursor (EC 6.4.1.1) (Pyruvic carboxylase) (PCB). [Source:Uniprot/SWISSPROT;Acc:P11498]",79.75,gi|148227386|ref|NP_001083226| 'pyruvate carboxylase [Xenopus laevis]',84.21,"ENSGACP00000003056|Propionyl-CoA carboxylase alpha chain, mitochondrial precursor (EC 6.4.1.3) (PCCase subunit alpha) (Propanoyl-CoA:carbon dioxide ligase subunit alpha). [Source:Uniprot/SWISSPROT;Acc:P05165]",21.91,ENSDARP00000001575|hypothetical protein LOC553283 [Source:RefSeq_peptide;Acc:NP_001032759],83.04,"FBpp0087544 type=protein; loc=2R:complement(5738642..5738890,5738959..5739988,5740053..5740710,5742016..5743525,5743589..5743687); ID=FBpp0087544; name=CG1516-PB; parent=FBgn0027580,FBtr0088459; dbxref=FlyBase:FBpp0087544,FlyBase_Annotation_IDs:CG1516-PB,GB_protein:AAF58887.1,GB_protein:AAF58887; MD5=b57f46bb5064f911f38c5081893271e1; length=1181; release=r5.6; species=Dmel;",67.54,jgi|Dappu1|299576|JAB_estExt_Genewise1Plus.C_600145,68.88,D2023.2 CE09072 WBGene00004258 locus:pyc-1 pyruvate carboxylase status:Confirmed SW:O17732 protein_id:CAB02872.1,63.7,AT1G03090.2 | Symbols: MCCA | MCCA (3-methylcrotonyl-CoA carboxylase 1) | chr1:739715-743819 FORWARD,22.22,jgi|Chlre3|122970,16.95,DDB0230063 |Protein| gene: pccA on chromosome: 2 position 5399832 to 5402247,21.57,YBR218C|pyruvate carboxylase 2,51.68,"3716.m00093 TTHERM_00502240 Carbamoyl-phosphate synthase L chain, ATP binding domain containing protein",21.27,"b3256 acetyl CoA carboxylase, biotin carboxylase subunit (accC) [6.3.4.14] {Escherichia coli K12-MG1655}",16.71,syc0177_c biotin carboxylase (accC) {Synechococcus elongatus PCC 6301},17.91
P11509|CP2A6_HUMAN Cytochrome P450 2A6 - Homo sapiens,Enzyme,Methoxsalen(DB00553),ENSMUSP00000005685|Cytochrome P450 2A5 (EC 1.14.14.1) (CYPIIA5) (Coumarin 7-hydroxylase) (P450-15-COH) (P450-IIA3.2). [Source:Uniprot/SWISSPROT;Acc:P20852],85.22,ENSGALP00000009299|Cytochrome P450 2H1 (EC 1.14.14.1) (CYPIIH1) (PB15) (P450 PCHP3). [Source:Uniprot/SWISSPROT;Acc:P05180],51.42,ENSXETP00000019348|CYP2A13 protein. [Source:Uniprot/SPTREMBL;Acc:Q6DIW7],54.25,gi|147902996|ref|NP_001085249| 'hypothetical protein LOC432347 [Xenopus laevis]',53.64,ENSGACP00000017019|Cytochrome P450 2C9 (EC 1.14.13.80) ((R)-limonene 6-monooxygenase) (EC 1.14.13.48) ((S)-limonene 6-monooxygenase) (EC 1.14.13.49) ((S)- limonene 7-monooxygenase) (CYPIIC9) (P450 PB-1) (P450 MP-4/MP-8) (S- mephenytoin 4-hydroxylase) (P-450MP). [Source:Uniprot/SWISSPROT;Acc:P11712],46.76,ENSDARP00000089848,46.96,"FBpp0074381 type=protein; loc=X:complement(18583179..18583587,18584024..18584288,18584392..18584821,18584899..18585020,18585861..18586251); ID=FBpp0074381; name=Cyp18a1-PB; parent=FBgn0010383,FBtr0074610; dbxref=FlyBase:FBpp0074381,FlyBase_Annotation_IDs:CG6816-PB,GB_protein:AAF48874.1,GB_protein:AAF48874; MD5=47ace5c3df54ffe072b4e20779caa7eb; length=538; release=r5.6; species=Dmel;",27.92,jgi|Dappu1|43213|e_gw1.5.389.1,27.91,C49C8.4 CE31452 WBGene00016768 locus:cyp-33E1 cytochrome P450 status:Partially_confirmed TR:Q27482 protein_id:AAB03125.2,32.34,"AT1G33720.1 | Symbols: CYP76C6 | CYP76C6 (cytochrome P450, family 76, subfamily C, polypeptide 6); oxygen binding | chr1:12220937-12223961 REVERSE",23.62,jgi|Chlre3|196742,16.14,DDB0232355 |Protein| gene: CYP508A4 on chromosome: 4 position 2137636 to 2139414,24.9,YHR007C|cytochrome P450 lanosterol 14a-demethylase,17.44,3810.m01958 TTHERM_00313500 Cytochrome P450 family protein,20.64,b1271 putative oxidoreductase (yciK) {Escherichia coli K12-MG1655},10.12,syc0188_c cytochrome P450 {Synechococcus elongatus PCC 6301},19.32
P11511|CP19A_HUMAN Cytochrome P450 19A1 - Homo sapiens,Enzyme,"Aminoglutethimide(DB00357), Testolactone(DB00894), Exemestane(DB00990), Letrozole(DB01006), Anastrozole(DB01217)",ENSMUSP00000034811|Cytochrome P450 19A1 (EC 1.14.14.1) (Aromatase) (CYPXIX) (Estrogen synthetase) (P-450AROM). [Source:Uniprot/SWISSPROT;Acc:P28649],79.32,ENSGALP00000021669|Cytochrome P450 19A1 (EC 1.14.14.1) (Aromatase) (CYPXIX) (Estrogen synthetase) (P-450AROM). [Source:Uniprot/SWISSPROT;Acc:P19098],71.97,ENSXETP00000044866|Cytochrome P450 19A1 (EC 1.14.14.1) (Aromatase) (CYPXIX) (Estrogen synthetase) (P-450AROM). [Source:Uniprot/SWISSPROT;Acc:P11511],70.18,gi|51258680|gb|AAH79750| 'P450arom-A protein [Xenopus laevis]',69.58,ENSGACP00000022104|Cytochrome P450 19A1 (EC 1.14.14.1) (Aromatase) (CYPXIX) (Estrogen synthetase) (P-450AROM). [Source:Uniprot/SWISSPROT;Acc:P11511],50.5,"ENSDARP00000014320|cytochrome P450, family 19, subfamily A, polypeptide 1b [Source:RefSeq_peptide;Acc:NP_571717]",52.58,"FBpp0070371 type=protein; loc=X:join(2070940..2071096,2071184..2071570,2071627..2071696,2071754..2072313,2072370..2072701); ID=FBpp0070371; name=Cyp4d2-PA; parent=FBgn0011576,FBtr0070387; dbxref=FlyBase:FBpp0070371,FlyBase_Annotation_IDs:CG3466-PA,GB_protein:AAF45741.1,GB_protein:AAF45741; MD5=d9db1b4309506c746e2c74c542dba840; length=501; release=r5.6; species=Dmel;",20.64,jgi|Dappu1|312048|NCBI_GNO_0500217,19.81,B0331.1 CE15551 WBGene00007140 locus:cyp-29A4 cytochrome P450 status:Predicted TR:O45219 protein_id:CAB11775.1,19.62,"AT1G31800.1 | Symbols: CYP97A3, LUT5 | CYP97A3/LUT5 (CYTOCHROME P450-TYPE MONOOXYGENASE 97A3); carotene beta-ring hydroxylase/ oxygen binding | chr1:11396421-11399451 FORWARD",19.93,jgi|Chlre3|196742,16.64,DDB0232976 |Protein| gene: CYP508D1 on chromosome: 6 position 2042922 to 2044722,18.09,YHR007C|cytochrome P450 lanosterol 14a-demethylase,13.02,3812.m02396 TTHERM_00112850 Cytochrome P450 family protein,16.3,b0794 putative ATP-binding component of a transport system (ybhF) {Escherichia coli K12-MG1655},13.26,syc0188_c cytochrome P450 {Synechococcus elongatus PCC 6301},16.01
"P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic - Homo sapiens",Enzyme,"Tetrahydrofolic acid(DB00116), NADH(DB00157)","ENSMUSP00000021443|C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]. [Source:Uniprot/SWISSPROT;Acc:Q922D8]",93.05,"ENSGALP00000019224|methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase [Source:RefSeq_peptide;Acc:NP_001034392]",80.75,ENSXETP00000030487|methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like  [Source:RefSeq_peptide;Acc:NP_056255],55.88,gi|148233902|ref|NP_001080574| 'C1-tetrahydrofolate synthase [Xenopus laevis]',82.25,"ENSGACP00000008589|C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]. [Source:Uniprot/SWISSPROT;Acc:P11586]",78.61,"ENSDARP00000063414|Novel protein similar to methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofola (Mthfd1) (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q5PNN4]",59.02,"FBpp0099494 type=protein; loc=3R:join(6522454..6522524,6525473..6525544,6525607..6525817,6525941..6526412,6526724..6528561,6528628..6528870); ID=FBpp0099494; name=pug-PD; parent=FBgn0020385,FBtr0100144; dbxref=FlyBase_Annotation_IDs:CG4067-PD,FlyBase:FBpp0099494,GB_protein:AAX52944.1,GB_protein:AAX52944; MD5=c3fcea56d9dd34c876b401ec9b2a6f0f; length=968; release=r5.6; species=Dmel;",61.39,jgi|Dappu1|198836|estExt_Genewise1Plus.C_450083,66.42,K07E3.4b CE18020 WBGene00019492 status:Confirmed TR:Q21284 protein_id:AAC69101.2,47.39,AT1G50480.1 | Symbols: THFS | THFS (10-FORMYLTETRAHYDROFOLATE SYNTHETASE); ATP binding / formate-tetrahydrofolate ligase | chr1:18705732-18708355 FORWARD,44.23,jgi|Chlre3|127560,31.48,DDB0230114 |Protein| gene: fthS on chromosome: 5 position 4031914 to 4033830,45.79,"YGR204W|C1-5,6,7,8-tetrahydrofolate synthase",56.99,3689.m00154 TTHERM_00339820 methylenetetrahydrofolate dehydrogenase,12.69,"b0529 5,10-methylene-tetrahydrofolate dehydrogenase; 5,10-methylene-tetrahydrofolate cyclohydrolase (folD) [1.5.1.5] {Escherichia coli K12-MG1655}",13.16,syc0759_d FolD bifunctional protein (folD) {Synechococcus elongatus PCC 6301},12.51
